Account No.,DATE,Transaction Details,CHQ.NO.,Value Date,Withdrawal Amount,Deposit Amount,Balance Amount,.
23468455355,42915,TRF FROM  Indiaforensic SERVICES,,42915,,1000000,1000000,.
23468455356,42921,TRF FROM  Indiaforensic SERVICES,,42921,,1000000,2000000,.
23468455357,42934,FDRL/INTERNAL FUND TRANSFE,,42934,,500000,2500000,.
23468455358,42948,TRF FRM  Indiaforensic SERVICES,,42948,,3000000,5500000,.
23468455359,42963,FDRL/INTERNAL FUND TRANSFE,,42963,,500000,6000000,.
23468455360,42963,FDRL/INTERNAL FUND TRANSFE,,42963,,500000,6500000,.
23468455361,42963,FDRL/INTERNAL FUND TRANSFE,,42963,,500000,7000000,.
23468455362,42963,FDRL/INTERNAL FUND TRANSFE,,42963,,500000,7500000,.
23468455363,42963,FDRL/INTERNAL FUND TRANSFE,,42963,,500000,8000000,.
23468455364,42963,FDRL/INTERNAL FUND TRANSFE,,42963,,500000,8500000,.
23462522414,42963,INDO GIBL Indiaforensic STL01071,,42963,133900,,8366100,.
23462522414,42963,INDO GIBL Indiaforensic STL02071,,42963,18000,,8348100,.
23462522414,42963,INDO GIBL Indiaforensic STL03071,,42963,5000,,8343100,.
23462522414,42963,INDO GIBL Indiaforensic STL04071,,42963,195800,,8147300,.
23462522415,42963,INDO GIBL Indiaforensic STL05071,,42963,81600,,8065700,.
23462522416,42963,INDO GIBL Indiaforensic STL06071,,42963,41800,,8023900,.
23462522417,42963,INDO GIBL Indiaforensic STL07071,,42963,98500,,7925400,.
23462522418,42963,INDO GIBL Indiaforensic STL10071,,42963,143800,,7781600,.
23462522419,42963,INDO GIBL Indiaforensic STL11071,,42963,331650,,7449950,.
23462522420,42282,CASHPMT/GURGAON/SELF,873917,42282,100000,,7349950,.
23462522421,42282,INTERNAL FUND TRANSFER IN,,42282,15000000,,-7650050,.
23462522422,42282,INTERNAL FUND TRANSFER IN,,42282,15000000,,-22650050,.
23462522423,42282,INTERNAL FUND TRANSFER IN,,42282,15000000,,-37650050,.
23462522424,42282,RTGS/SBINH15278726552/Indfor,,42282,,14900000,-22750050,.
23462522425,42282,RTGS/SBINH15278726620/Indfor,,42282,,14900000,-7850050,.
23462522426,42282,TRANGLO SDN BHD/USD/40000,,42282,,2604000,-5246050,.
23462522427,42282,IRTT00701513532,,42282,1279.56,,-5247329.56,.
23462522428,42282,"Indiaforensic USA, INC./USD/1037",,42282,,6756066.28,1508736.72,.
23462522429,42282,IRTT00701513533,,42282,1860.85,,1506875.87,.
23462522430,42282,Indiaforensic SERVICES INDIA PVT,,42282,,18942514,20449389.87,.
23462522431,42282,INTERNAL FUND TRANSFER IN,,42282,15000000,,5449389.87,.
23462522432,42282,INTERNAL FUND TRANSFER IN,,42282,15000000,,-9550610.13,.
23462522433,42282,INTERNAL FUND TRANSFER IN,,42282,15000000,,-24550610.13,.
23462522434,42282,NEFT/SBIN515278779021/Indfor,,42282,,14900000,-9650610.13,.
23462522435,42282,NEFT/SBIN515278779211/Indfor,,42282,,11000000,1349389.87,.
23462522436,42282,NEFT/AXISF15278050946/Indfor,,42282,,4250000,5599389.87,.
23468455391,42282,NEFT/AXISF15278050810/Indfor,,42282,,2000000,7599389.87,.
23468455392,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-2400610.13,.
23468455393,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-12400610.13,.
23468455394,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-22400610.13,.
23468455395,42283,IWSTHCTS1/S PRASANTHO KUM,873645,42283,15000,,-22415610.13,.
23468455396,42283,IWSTHCTS1/SAVARA TATARAO,873654,42283,15000,,-22430610.13,.
23468455397,42283,RTGS/PUNBH15279008026/Indfor,,42283,,2400000,-20030610.13,.
23468455398,42283,MAHESH CHANDRA JAIN,873662,42283,3886,,-20034496.13,.
23468455399,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-30034496.13,.
23468455400,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-40034496.13,.
23468455401,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-50034496.13,.
23468455402,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-60034496.13,.
23468455403,42283,RTGS/CIUBH15279642588/Indfor,,42283,,1000000,-59034496.13,.
23468455404,42283,RTGS/KVBLH15279299855/Indfor,,42283,,1200000,-57834496.13,.
23468455405,42283,RTGS/SBTRH15279185865/Indfor,,42283,,1450000,-56384496.13,.
23468455406,42283,Indiaforensic SERVICES INDIA PVT,,42283,,5283525,-51100971.13,.
23468455407,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-61100971.13,.
23468455408,42283,NEFT/SBIN615279745176/Indfor,,42283,,14900000,-46200971.13,.
23468455409,42283,NEFT/SBIN615279745932/Indfor,,42283,,14900000,-31300971.13,.
23468455410,42283,NEFT/AXISF15279090660/Indfor,,42283,,6200000,-25100971.13,.
23468455411,42283,NEFT/SBIN615279744409/Indfor,,42283,,14900000,-10200971.13,.
23468455412,42283,NEFT/AXISF15279090806/Indfor,,42283,,10000000,-200971.13,.
23468455413,42283,NEFT/AXISF15279090687/Indfor,,42283,,5100000,4899028.87,.
23468455414,42283,INTERNAL FUND TRANSFER IN,,42283,15000000,,-10100971.13,.
23468455415,42283,INTERNAL FUND TRANSFER IN,,42283,15000000,,-25100971.13,.
23468455416,42283,INTERNAL FUND TRANSFER IN,,42283,15000000,,-40100971.13,.
23468455417,42283,INTERNAL FUND TRANSFER IN,,42283,10000000,,-50100971.13,.
23468455418,42283,FIXED  MOBILE PTE LTD/USD,,42283,,3905664.12,-46195307.01,.
23468455419,42283,IRTT00701513652,,42283,1461.79,,-46196768.8,.
23468455420,42284,RTGS/YESBH15280015242/Indfor,,42284,10000000,,-56196768.8,.
23468487134,42284,INTERNAL FUND TRANSFER IN,,42284,10000000,,-66196768.8,.
23468487134,42284,INTERNAL FUND TRANSFER IN,,42284,10000000,,-76196768.8,.
23468487134,42284,RTGS/ICICH15280016715/Indfor,,42284,,15000000,-61196768.8,.
23468487134,42284,RTGS/ICICH15280016720/Indfor,,42284,,15000000,-46196768.8,.
23468487135,42284,INTERNAL FUND TRANSFER IN,,42284,15000000,,-61196768.8,.
23468487136,42284,INTERNAL FUND TRANSFER IN,,42284,10000000,,-71196768.8,.
23468487137,42284,TATA TELESERVICES LTD AC,873907,42284,1142,,-71197910.8,.
23468487138,42284,INDER PRAKASH SARID,873918,42284,592982,,-71790892.8,.
23468487139,42284,TRANGLO SDN BHD/USD/70000,,42284,,4555600,-67235292.8,.
23468487140,42284,IRTT00701513709,,42284,1552.78,,-67236845.58,.
23468487141,42284,RTGS/SBINH15280809398/Indfor,,42284,,12000000,-55236845.58,.
23468487142,42284,RTGS/ICICH15280047445/Indfor,,42284,,8000000,-47236845.58,.
23468487143,42284,INTERNAL FUND TRANSFER IN,,42284,8000000,,-55236845.58,.
23468487144,42284,INTERNAL FUND TRANSFER IN,,42284,10000000,,-65236845.58,.
23468487145,42284,RTGS/ICICH15280065315/Indfor,,42284,,10000000,-55236845.58,.
23468487146,42284,RTGS/ICICH15280065323/Indfor,,42284,,10000000,-45236845.58,.
23468487147,42284,RTGS/SBINH15280826115/Indfor,,42284,,14900000,-30336845.58,.
23468487148,42284,RTGS/SBINH15280826154/Indfor,,42284,,10000000,-20336845.58,.
23468487149,42284,Indiaforensic SERVICES INDIA PVT,,42284,,4887589,-15449256.58,.
23468487150,42284,INTERNAL FUND TRANSFER IN,,42284,15000000,,-30449256.58,.
23468487151,42284,INTERNAL FUND TRANSFER IN,,42284,15000000,,-45449256.58,.
23468487152,42284,INTERNAL FUND TRANSFER IN,,42284,15000000,,-60449256.58,.
23468487153,42284,INTERNAL FUND TRANSFER IN,,42284,15000000,,-75449256.58,.
23468487154,42284,INTERNAL FUND TRANSFER IN,,42284,15000000,,-90449256.58,.
23468487155,42284,NEFT/AXISF15280029353/Indfor,,42284,,1900000,-88549256.58,.
23468487156,42284,NEFT/SBIN715280720258/Indfor,,42284,,14900000,-73649256.58,.
23468487157,42284,NEFT/AXISF15280029383/Indfor,,42284,,1200000,-72449256.58,.
23468487158,42284,NEFT/FDRL342280535/Indiaforensic,,42284,,10000000,-62449256.58,.
23468487159,42284,NEFT/FDRL342280694/Indiaforensic,,42284,,5000000,-57449256.58,.
23468487160,42285,INTERNAL FUND TRANSFER IN,,42285,10000000,,-67449256.58,.
23468487161,42285,RTGS/ICICH15281089595/Indfor,,42285,,10000000,-57449256.58,.
23468487162,42285,INTERNAL FUND TRANSFER IN,,42285,15000000,,-72449256.58,.
23468487163,42285,INTERNAL FUND TRANSFER IN,,42285,500000,,-72949256.58,.
23468487164,42285,FIXED  MOBILE PTE LTD/USD,,42285,,6482276.3,-66466980.28,.
23468487165,42285,IRTT00701513760,,42285,1822.52,,-66468802.8,.
23468487166,42285,INTERNAL FUND TRANSFER IN,,42285,15000000,,-81468802.8,.
23468487167,42285,INTERNAL FUND TRANSFER IN,,42285,15000000,,-96468802.8,.
23468487168,42285,SONU GUPTA,873919,42285,20000,,-96488802.8,.
23468487169,42285,ETRAVEL VALUE  INDIA P LT,873915,42285,154620,,-96643422.8,.
23468487170,42285,IRTT00701513760:Remittanc,,42285,285,,-96643707.8,.
23468487171,42285,RTGS/SBINH15281865646/Indfor,,42285,,5000000,-91643707.8,.
23468487172,42285,Indiaforensic SERVICES INDIA PVT,,42285,,4745601,-86898106.8,.
23468487173,42285,RTGS/SBINH15281865637/Indfor,,42285,,14900000,-71998106.8,.
23468487174,42285,RTGS/SBINH15281865638/Indfor,,42285,,14900000,-57098106.8,.
23468487175,42285,INTERNAL FUND TRANSFER IN,,42285,12000000,,-69098106.8,.
23468487176,42285,INTERNAL FUND TRANSFER IN,,42285,12000000,,-81098106.8,.
23468487177,42285,INTERNAL FUND TRANSFER IN,,42285,15000000,,-96098106.8,.
23468487178,42285,RTGS/SBINH15281877826/Indfor,,42285,,14900000,-81198106.8,.
23468487179,42285,RTGS/SBINH15281877880/Indfor,,42285,,14900000,-66298106.8,.
23468487180,42285,NEFT/FDRL342280624/Indiaforensic,,42285,,15000000,-51298106.8,.
23468487181,42285,NEFT/FDRL342280645/Indiaforensic,,42285,,10000000,-41298106.8,.
23468487182,42285,INTERNAL FUND TRANSFER IN,,42285,15000000,,-56298106.8,.
23468487183,42285,INTERNAL FUND TRANSFER IN,,42285,15000000,,-71298106.8,.
23468455474,45582,INDO GIBL Indiaforensic STL19101,,45582,76389,,1214521,.
23468455475,45582,INDO GIBL Indiaforensic STL20101,,45582,62725,,1151796,.
23468455476,45582,INDO GIBL Indiaforensic STL21101,,45582,39000,,1112796,.
23468455477,45582,INDO GIBL Indiaforensic STL22101,,45582,9600,,1103196,.
23468455478,45582,INDO GIBL Indiaforensic STL23101,,45582,123260,,979936,.
23468455479,45582,INDO GIBL Indiaforensic STL24101,,45582,369803,,610133,.
23468455480,45582,INDO GIBL Indiaforensic STL25101,,45582,170125,,440008,.
23468455481,45582,FDRL/INTERNAL FUND TRANSFE,,45582,,500000,940008,.
23468455482,45582,INDO GIBL Indiaforensic STL26101,,45582,208000,,732008,.
23468455483,45582,FDRL/INTERNAL FUND TRANSFE,,45582,,500000,1232008,.
23468455484,45582,INDO GIBL Indiaforensic STL27101,,45582,291150,,940858,.
23468411232,45582,INDO GIBL Indiaforensic STL28101,,45582,24000,,916858,.
23468411232,45582,INDO GIBL Indiaforensic STL30101,,45582,141546,,775312,.
23468411232,45613,INDO GIBL Indiaforensic STL31101,,45613,80000,,695312,.
23468411232,45613,INDO GIBL Indiaforensic STL01111,,45613,46250,,649062,.
23468411232,45613,INDO GIBL Indiaforensic STL02111,,45613,42825,,606237,.
23468411233,45613,INDO GIBL Indiaforensic STL03111,,45613,179463,,426774,.
