Account No.,DATE,Transaction Details,CHQ.NO.,Value Date,Withdrawal Amount,Deposit Amount,Balance Amount,.
409000611074',29-Jun-17,TRF FROM  Indiaforensic SERVICES,,29-Jun-17,,"1,000,000.00","1,000,000.00",.
409000611074',5-Jul-17,TRF FROM  Indiaforensic SERVICES,,5-Jul-17,,"1,000,000.00","2,000,000.00",.
409000611074',18-Jul-17,FDRL/INTERNAL FUND TRANSFE,,18-Jul-17,,"500,000.00","2,500,000.00",.
409000611074',1-Aug-17,TRF FRM  Indiaforensic SERVICES,,1-Aug-17,,"3,000,000.00","5,500,000.00",.
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"500,000.00","6,000,000.00",.
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"500,000.00","6,500,000.00",.
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"500,000.00","7,000,000.00",.
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"500,000.00","7,500,000.00",.
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"500,000.00","8,000,000.00",.
409000611074',16-Aug-17,FDRL/INTERNAL FUND TRANSFE,,16-Aug-17,,"500,000.00","8,500,000.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL01071,,16-Aug-17,"133,900.00",,"8,366,100.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL02071,,16-Aug-17,"18,000.00",,"8,348,100.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL03071,,16-Aug-17,"5,000.00",,"8,343,100.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL04071,,16-Aug-17,"195,800.00",,"8,147,300.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL05071,,16-Aug-17,"81,600.00",,"8,065,700.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL06071,,16-Aug-17,"41,800.00",,"8,023,900.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL07071,,16-Aug-17,"98,500.00",,"7,925,400.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL10071,,16-Aug-17,"143,800.00",,"7,781,600.00",.
409000611074',16-Aug-17,INDO GIBL Indiaforensic STL11071,,16-Aug-17,"331,650.00",,"7,449,950.00",.
1196711',5-Oct-15,CASHPMT/GURGAON/SELF,873917,5-Oct-15,"100,000.00",,"7,349,950.00",.
1196711',5-Oct-15,INTERNAL FUND TRANSFER IN,,5-Oct-15,"15,000,000.00",,"-7,650,050.00",.
1196711',5-Oct-15,INTERNAL FUND TRANSFER IN,,5-Oct-15,"15,000,000.00",,"-22,650,050.00",.
1196711',5-Oct-15,INTERNAL FUND TRANSFER IN,,5-Oct-15,"15,000,000.00",,"-37,650,050.00",.
1196711',5-Oct-15,RTGS/SBINH15278726552/Indfor,,5-Oct-15,,"14,900,000.00","-22,750,050.00",.
1196711',5-Oct-15,RTGS/SBINH15278726620/Indfor,,5-Oct-15,,"14,900,000.00","-7,850,050.00",.
1196711',5-Oct-15,TRANGLO SDN BHD/USD/40000,,5-Oct-15,,"2,604,000.00","-5,246,050.00",.
1196711',5-Oct-15,IRTT00701513532,,5-Oct-15,"1,279.56",,"-5,247,329.56",.
1196711',5-Oct-15,"Indiaforensic USA, INC./USD/1037",,5-Oct-15,,"6,756,066.28","1,508,736.72",.
1196711',5-Oct-15,IRTT00701513533,,5-Oct-15,"1,860.85",,"1,506,875.87",.
1196711',5-Oct-15,Indiaforensic SERVICES INDIA PVT,,5-Oct-15,,"18,942,514.00","20,449,389.87",.
1196711',5-Oct-15,INTERNAL FUND TRANSFER IN,,5-Oct-15,"15,000,000.00",,"5,449,389.87",.
1196711',5-Oct-15,INTERNAL FUND TRANSFER IN,,5-Oct-15,"15,000,000.00",,"-9,550,610.13",.
1196711',5-Oct-15,INTERNAL FUND TRANSFER IN,,5-Oct-15,"15,000,000.00",,"-24,550,610.13",.
1196711',5-Oct-15,NEFT/SBIN515278779021/Indfor,,5-Oct-15,,"14,900,000.00","-9,650,610.13",.
1196711',5-Oct-15,NEFT/SBIN515278779211/Indfor,,5-Oct-15,,"11,000,000.00","1,349,389.87",.
1196711',5-Oct-15,NEFT/AXISF15278050946/Indfor,,5-Oct-15,,"4,250,000.00","5,599,389.87",.
1196711',5-Oct-15,NEFT/AXISF15278050810/Indfor,,5-Oct-15,,"2,000,000.00","7,599,389.87",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-2,400,610.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-12,400,610.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-22,400,610.13",.
1196711',6-Oct-15,IWSTHCTS1/S PRASANTHO KUM,873645,6-Oct-15,"15,000.00",,"-22,415,610.13",.
1196711',6-Oct-15,IWSTHCTS1/SAVARA TATARAO,873654,6-Oct-15,"15,000.00",,"-22,430,610.13",.
1196711',6-Oct-15,RTGS/PUNBH15279008026/Indfor,,6-Oct-15,,"2,400,000.00","-20,030,610.13",.
1196711',6-Oct-15,MAHESH CHANDRA JAIN,873662,6-Oct-15,"3,886.00",,"-20,034,496.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-30,034,496.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-40,034,496.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-50,034,496.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-60,034,496.13",.
1196711',6-Oct-15,RTGS/CIUBH15279642588/Indfor,,6-Oct-15,,"1,000,000.00","-59,034,496.13",.
1196711',6-Oct-15,RTGS/KVBLH15279299855/Indfor,,6-Oct-15,,"1,200,000.00","-57,834,496.13",.
1196711',6-Oct-15,RTGS/SBTRH15279185865/Indfor,,6-Oct-15,,"1,450,000.00","-56,384,496.13",.
1196711',6-Oct-15,Indiaforensic SERVICES INDIA PVT,,6-Oct-15,,"5,283,525.00","-51,100,971.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-61,100,971.13",.
1196711',6-Oct-15,NEFT/SBIN615279745176/Indfor,,6-Oct-15,,"14,900,000.00","-46,200,971.13",.
1196711',6-Oct-15,NEFT/SBIN615279745932/Indfor,,6-Oct-15,,"14,900,000.00","-31,300,971.13",.
1196711',6-Oct-15,NEFT/AXISF15279090660/Indfor,,6-Oct-15,,"6,200,000.00","-25,100,971.13",.
1196711',6-Oct-15,NEFT/SBIN615279744409/Indfor,,6-Oct-15,,"14,900,000.00","-10,200,971.13",.
1196711',6-Oct-15,NEFT/AXISF15279090806/Indfor,,6-Oct-15,,"10,000,000.00","-200,971.13",.
1196711',6-Oct-15,NEFT/AXISF15279090687/Indfor,,6-Oct-15,,"5,100,000.00","4,899,028.87",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"15,000,000.00",,"-10,100,971.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"15,000,000.00",,"-25,100,971.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"15,000,000.00",,"-40,100,971.13",.
1196711',6-Oct-15,INTERNAL FUND TRANSFER IN,,6-Oct-15,"10,000,000.00",,"-50,100,971.13",.
1196711',6-Oct-15,FIXED  MOBILE PTE LTD/USD,,6-Oct-15,,"3,905,664.12","-46,195,307.01",.
